episode,reward,steps,epsilon,loss
326,275.2853844165802,283,0.05,
327,59.91604310274124,67,0.05,
328,97.39149588346481,102,0.05,
329,68.50170284509659,73,0.05,
330,101.34812265634537,106,0.05,
331,86.04856956005096,92,0.05,
332,61.18119752407074,66,0.05,
333,60.473544001579285,65,0.05,
334,26.563751339912415,31,0.05,
335,37.56429302692413,42,0.05,
336,20.370255649089813,25,0.05,
337,42.447216510772705,47,0.05,
338,101.29996228218079,107,0.05,
339,21.318110466003418,26,0.05,
340,39.455112516880035,44,0.05,
341,29.359380185604095,34,0.05,
342,37.16403526067734,42,0.05,
343,29.2324640750885,34,0.05,
344,37.47811609506607,42,0.05,
345,37.479497373104095,42,0.05,
346,43.496506571769714,48,0.05,
347,70.3179098367691,75,0.05,
348,15.344402372837067,20,0.05,
349,75.7907013297081,81,0.05,
350,15.388970732688904,20,0.05,
351,15.347654938697815,20,0.05,
352,32.585954427719116,37,0.05,
353,23.875028252601624,29,0.05,
354,20.354641497135162,25,0.05,
355,15.329272985458374,20,0.05,
356,92.44828045368195,98,0.05,
357,31.68136703968048,36,0.05,
358,73.42304557561874,78,0.05,
359,27.7253155708313,32,0.05,
360,47.34399777650833,52,0.05,
361,18.27317702770233,23,0.05,
362,38.51269066333771,43,0.05,
363,15.406445384025574,20,0.05,
364,16.229531288146973,21,0.05,
365,42.17841309309006,47,0.05,
366,48.25977694988251,53,0.05,
367,74.83352303504944,80,0.05,
368,52.38842552900314,57,0.05,
369,57.367520689964294,62,0.05,
370,31.49234688282013,36,0.05,
371,32.687827587127686,37,0.05,
372,21.339444637298584,26,0.05,
373,19.35987627506256,24,0.05,
374,50.229517340660095,55,0.05,
375,16.555191934108734,21,0.05,
376,33.393016278743744,38,0.05,
377,23.596990644931793,28,0.05,
378,35.50946092605591,40,0.05,
379,18.28645020723343,23,0.05,
380,39.59538149833679,44,0.05,
381,30.378169238567352,35,0.05,
382,33.304703652858734,38,0.05,
383,36.55890268087387,41,0.05,
384,16.332101345062256,21,0.05,
385,23.259588181972504,28,0.05,
386,53.06757479906082,58,0.05,
387,16.257687270641327,21,0.05,
388,24.238353669643402,29,0.05,
389,18.253876864910126,23,0.05,
390,26.690123975276947,31,0.05,
391,17.291811645030975,22,0.05,
392,20.32153218984604,25,0.05,
393,20.46250218153,25,0.05,
394,45.25951659679413,50,0.05,
395,29.459401428699493,34,0.05,
396,14.429838120937347,19,0.05,
397,37.42387276887894,42,0.05,
398,41.46908742189407,46,0.05,
399,23.282340466976166,28,0.05,
400,23.31640326976776,28,0.05,
401,27.36085730791092,32,0.05,
402,34.48127204179764,39,0.05,
403,27.5463747382164,32,0.05,
404,23.547010600566864,28,0.05,
405,18.164209604263306,23,0.05,
406,25.62815833091736,30,0.05,
407,39.44298017024994,44,0.05,
408,41.40341693162918,46,0.05,
409,32.40330356359482,37,0.05,
410,17.31274801492691,22,0.05,
411,63.12544363737106,70,0.05,
412,56.04188024997711,61,0.05,
413,17.37347048521042,22,0.05,
414,50.15248775482178,55,0.05,
415,100.57423937320709,106,0.05,
416,29.599298655986786,34,0.05,
417,21.44069468975067,26,0.05,
418,20.36035841703415,25,0.05,
419,35.47850811481476,40,0.05,
420,90.19547879695892,96,0.05,
421,92.40341997146606,98,0.05,
422,86.53313970565796,92,0.05,
423,27.394580960273743,32,0.05,
424,20.42902261018753,25,0.05,
425,18.34987986087799,23,0.05,
426,28.19679707288742,33,0.05,
427,36.35253232717514,41,0.05,
428,15.230857729911804,20,0.05,
429,77.62648814916611,83,0.05,
430,77.73812258243561,83,0.05,
431,25.518750607967377,30,0.05,
432,80.60815560817719,86,0.05,
433,23.31124234199524,28,0.05,
434,43.480078876018524,48,0.05,
435,17.37761688232422,22,0.05,
436,30.73867577314377,35,0.05,
437,29.611369967460632,34,0.05,
438,29.476937472820282,34,0.05,
439,23.46660476922989,28,0.05,
440,27.587307155132294,32,0.05,
441,18.331331372261047,23,0.05,
442,15.244318544864655,20,0.05,
443,44.33749717473984,49,0.05,
444,49.19288206100464,54,0.05,
445,50.052477300167084,55,0.05,
446,53.115711987018585,58,0.05,
447,29.425654232501984,34,0.05,
448,18.252026617527008,23,0.05,
449,18.205601513385773,23,0.05,
450,16.412407279014587,21,0.05,
451,35.56730383634567,40,0.05,
452,17.255365312099457,22,0.05,
453,45.26203632354736,50,0.05,
454,23.2194082736969,28,0.05,
455,32.36504518985748,37,0.05,
456,60.939530313014984,68,0.05,
457,51.20551174879074,56,0.05,
458,58.858638525009155,64,0.05,
459,22.211095869541168,27,0.05,
460,31.604041695594788,36,0.05,
461,26.39574021100998,31,0.05,
462,122.39814466238022,129,0.05,
463,21.366010189056396,26,0.05,
464,34.50218737125397,39,0.05,
465,86.13379216194153,93,0.05,
466,18.672714412212372,23,0.05,
467,26.396511912345886,31,0.05,
468,32.510285556316376,37,0.05,
469,36.58423310518265,41,0.05,
470,65.81287962198257,71,0.05,
471,49.293933510780334,54,0.05,
472,25.46840673685074,30,0.05,
473,33.54885941743851,38,0.05,
